2019-12-30 16:22:21+00:00; rafinhabastos; Desculpem meu silêncio. Estou sob a benção de vênus. https://t.co/Eq6Gc1AGNa; 153; 132; 3960; 22; https://twitter.com/rafinhabastos/status/1211683955252092929; None; None
2019-12-19 23:40:56+00:00; rafinhabastos; Grande reflexão sobre o filme CORINGA (por @caitomainier). 🤡 https://t.co/4TByFWl8By; 78; 1596; 8330; 101; https://twitter.com/rafinhabastos/status/1207808059470467072; None; None
2019-12-18 18:38:09+00:00; rafinhabastos; Neste quinta, workshop de ‘desenvolvimento criativo para executivos do novo milênio’ com o coach Henrique Villares. Vem! Na quinta:  https://t.co/PDVGvcd0qL; 142; 84; 1285; 73; https://twitter.com/rafinhabastos/status/1207369477735751681; None; None
2019-12-18 05:28:43+00:00; rafinhabastos; @RennanPotter @redesnack Hahehhshehs; 0; 0; 16; 0; https://twitter.com/rafinhabastos/status/1207170809883742210; None; None
2019-12-13 14:36:13+00:00; rafinhabastos; @Mcrebeccaofc Ta simmmm! Só ler na manchete. Ta escrito ali!; 1; 0; 47; 0; https://twitter.com/rafinhabastos/status/1205496652716490752; None; None
2019-12-13 10:23:15+00:00; rafinhabastos; Não entendi uma palavra dessa manchete... e estou muito orgulhoso de mim mesmo. 🙏 #paz https://t.co/Bl04P9oyVY; 78; 176; 2861; 19; https://twitter.com/rafinhabastos/status/1205432988684750848; None; None
2019-12-13 02:11:58+00:00; rafinhabastos; @g_b_p_r Manda o link; 5; 0; 15; 0; https://twitter.com/rafinhabastos/status/1205309356188880896; None; None
2019-12-12 17:26:00+00:00; rafinhabastos; “Um absurdo a Netflix financiar um conteúdo desses. Sou adulto e faço minhas escolhas. Cancelei minha assinatura”.  4 dias depois: Netflix confirma novas temporadas de Atypical e de Queer Eye.  “Mãe! Qual a sua senha da Netflix? Manda no whats, please!”.; 85; 207; 3745; 15; https://twitter.com/rafinhabastos/status/1205176992171220992; None; None
2019-12-11 02:08:50+00:00; rafinhabastos; @marcelogaia1 Valeuuu; 0; 1; 1; 0; https://twitter.com/rafinhabastos/status/1204583791391629313; None; None
2019-12-10 11:31:17+00:00; rafinhabastos; Um dia após o meu ataque de ódio ao @OutbackBrasil... https://t.co/eOnYLhT6yi; 92; 75; 1574; 15; https://twitter.com/rafinhabastos/status/1204362946157170689; None; None
2019-12-09 00:24:48+00:00; rafinhabastos; Miss Universo é um evento muito ultrapassado. Como pode em 2019, a beleza feminina ser tratada de forma tão vulgar e...  4 min depois: A BRASILEIRA NÃO FICOU ENTRE AS 5??? PALHAÇADA! Vc quer dizer q essa australiana sem graça vai ganhar? PA-LHA-ÇA-DA!!!; 40; 239; 3120; 20; https://twitter.com/rafinhabastos/status/1203832835989213185; None; None
2019-12-08 18:40:25+00:00; rafinhabastos; @Cecillia Hahahhehhhe!!! 😂🙌; 4; 1; 75; 0; https://twitter.com/rafinhabastos/status/1203746168901120010; None; None
2019-12-08 01:44:18+00:00; rafinhabastos; @MartinAmini @dcimprov 🙌🙌🙌; 1; 0; 6; 0; https://twitter.com/rafinhabastos/status/1203490451254366209; None; None
2019-12-07 08:43:37+00:00; rafinhabastos; Pesquisa “péssima influência” no XVIDEOS agora. Pode ir. 🙌; 208; 54; 1370; 22; https://twitter.com/rafinhabastos/status/1203233590479331328; None; None
2019-12-06 15:44:34+00:00; rafinhabastos; @otaviano @canalgnt Que tal: SAI DA FRENTE, FILHO DA PUTA!!!! Aí corta pro motorista meio puto e mandando um🖕pras pessoas.; 2; 0; 48; 1; https://twitter.com/rafinhabastos/status/1202977138070237185; None; None
2019-12-06 15:42:02+00:00; rafinhabastos; @jbanguela Valeu meu velho! Vamo q vamo!!!; 1; 0; 47; 0; https://twitter.com/rafinhabastos/status/1202976500225658881; None; None
2019-12-05 23:02:38+00:00; rafinhabastos; @moura_101 Uai... tu tava expondo meu filho e sacaneando meu pai outro dia, fofão. O implante de cabelo te fez perder a memória?! Pede o $ de volta, tio!; 192; 95; 2480; 52; https://twitter.com/rafinhabastos/status/1202724994037567488; None; None
2019-12-04 18:34:37+00:00; rafinhabastos; @LubaTV Ô PiuDiPai de Maringá... eu tava sacaneando jogando algo aleatório que não tem como reagir num vídeo. Só isso. E deixa eu te falar: ñ saí do Brasil pq ñ me preocupo com o meu país.... ok... talvez ñ preocupe mesmo... vc ñ tá errado não. USA NUMBER ONE!!!; 7; 2; 189; 0; https://twitter.com/rafinhabastos/status/1202295154872373249; None; None
2019-12-04 10:06:38+00:00; rafinhabastos; @_anairaM Naooooo; 3; 0; 16; 0; https://twitter.com/rafinhabastos/status/1202167317020528640; None; None
2019-12-03 20:04:47+00:00; rafinhabastos; Tik Tok x Realidade. https://t.co/ktL8yKDqnb; 32; 343; 2752; 51; https://twitter.com/rafinhabastos/status/1201955461756522497; None; None
2019-12-03 18:06:45+00:00; rafinhabastos; @LubaTV https://t.co/7y0f0TNsQr; 8; 6; 238; 0; https://twitter.com/rafinhabastos/status/1201925754935791616; None; None
2019-12-03 18:05:13+00:00; rafinhabastos; @LubaTV A desigualdade social no Brasil.; 15; 5; 859; 1; https://twitter.com/rafinhabastos/status/1201925368271294466; None; None
2019-11-30 23:00:35+00:00; rafinhabastos; @marcurelio Não pode? Podia ter me avisado isso antes, caraio.; 1; 0; 43; 0; https://twitter.com/rafinhabastos/status/1200912538873012225; None; None
2019-11-30 22:15:03+00:00; rafinhabastos; Hoje fecho meu 1º mês no elenco do clube de comédia mais pica do mundo. Vai odiando nóis aí que tá pouco! 🙌🙌🙌 https://t.co/fMtetQPoSw; 100; 28; 2882; 6; https://twitter.com/rafinhabastos/status/1200901080156127241; None; None
2019-11-29 21:12:14+00:00; rafinhabastos; @WORD_NEWSS JhahehhHehhsha! Pô. Sacanagi.; 33; 7; 317; 0; https://twitter.com/rafinhabastos/status/1200522882406854662; None; None
2019-11-28 00:57:40+00:00; rafinhabastos; Nada mais enlouquecedor do que um tweet COM ERRO DE ORTOGRAFIA bombando nas internets.; 51; 33; 1816; 0; https://twitter.com/rafinhabastos/status/1199854839389442050; None; None
2019-11-27 22:59:40+00:00; rafinhabastos; Apontei traços de esquizofrenia no garoto... ninguém seu bola. Alguém ajuda o rapaz, pufavô. 🙏 https://t.co/zYXx1Nwzcg; 373; 1063; 11112; 137; https://twitter.com/rafinhabastos/status/1199825143784230912; None; None
2019-11-27 05:56:34+00:00; rafinhabastos; @gabicecon @jbanguela @brogui Nuossa! Caraio; 2; 0; 16; 0; https://twitter.com/rafinhabastos/status/1199567670825377794; None; None
2019-11-25 21:16:23+00:00; rafinhabastos; @marigraciolli Hahhwhhaheh; 1; 0; 8; 0; https://twitter.com/rafinhabastos/status/1199074376861278208; None; None
2019-11-24 03:31:20+00:00; rafinhabastos; @jbanguela @adrianofiori Concordo! 🙌; 1; 0; 17; 0; https://twitter.com/rafinhabastos/status/1198443958009028608; None; None
2019-11-23 04:42:31+00:00; rafinhabastos; @colorina Hahhwhhehshs; 3; 0; 8; 0; https://twitter.com/rafinhabastos/status/1198099484196188161; None; None
2019-11-22 01:27:01+00:00; rafinhabastos; @MarceloAdnet @RicardoPipo Levei 8; 11; 0; 59; 0; https://twitter.com/rafinhabastos/status/1197687899434758145; None; None
2019-11-20 20:11:45+00:00; rafinhabastos; Washington DC... tô chegando pra 4 shows! Informações e ingressos no https://t.co/yMWna8DrD1. Ps: Aquela esperança de ter alguém de Washington que vai ler isso aqui. https://t.co/OJ4Qr9KqHY; 20; 6; 123; 0; https://twitter.com/rafinhabastos/status/1197246170126585856; None; None
2019-11-19 17:50:11+00:00; rafinhabastos; Hip Hop é atitude! 🎵 https://t.co/hfTOzDNRHy; 24; 139; 1191; 10; https://twitter.com/rafinhabastos/status/1196848158430711808; None; None
2019-11-18 01:10:46+00:00; rafinhabastos; @everaldomarques Vai começar a transição pra virar mulher. Todo mundo ja sabe, Everaldo.; 5; 1; 90; 0; https://twitter.com/rafinhabastos/status/1196234256491696128; None; None
2019-11-18 01:09:24+00:00; rafinhabastos; @RitaLisauskas Em baixo da estátua da liberdade. 🤦🏻‍♂️; 21; 3; 103; 1; https://twitter.com/rafinhabastos/status/1196233912990732289; None; None
2019-11-18 01:05:09+00:00; rafinhabastos; @Berna45686707 Muito obrigado! 🙌; 0; 0; 2; 0; https://twitter.com/rafinhabastos/status/1196232845225840642; None; None
2019-11-16 12:13:15+00:00; rafinhabastos; @BrunoFAngelo1 @andreolifelipe @Lennonmvasques @MauMeirelles O programa sim. Os integrantes não, zebu!; 1; 0; 6; 0; https://twitter.com/rafinhabastos/status/1195676201756610565; None; None
2019-11-16 02:41:36+00:00; rafinhabastos; @naosalvo Caralho... beeem difícil.; 6; 4; 231; 0; https://twitter.com/rafinhabastos/status/1195532340816236545; None; None
2019-11-16 02:41:13+00:00; rafinhabastos; @naosalvo Pera aí... revi aqui... é bem difícil.; 4; 4; 360; 0; https://twitter.com/rafinhabastos/status/1195532245097992192; None; None
2019-11-16 02:40:52+00:00; rafinhabastos; @naosalvo Porra cara... não é dificil.; 7; 3; 430; 0; https://twitter.com/rafinhabastos/status/1195532154798784513; None; None
2019-11-16 02:37:17+00:00; rafinhabastos; @BrunoFAngelo1 @andreolifelipe @Lennonmvasques Nanana. Nunca falei que OS INTEGRANTES eram. Nem eu sou, champz!!!; 1; 0; 15; 1; https://twitter.com/rafinhabastos/status/1195531255716159488; None; None
2019-11-16 02:35:32+00:00; rafinhabastos; @PaulinhoSerra Obg pelo carinho de sempre, meu velho. 🙌🙌🙌; 1; 0; 63; 0; https://twitter.com/rafinhabastos/status/1195530814055952390; None; None
2019-11-12 04:54:35+00:00; rafinhabastos; @lucasfresno Que coisa maravilhosa, o vocalista Marcio é um talento inigualável... o Sérgio detona no violão. Grande banda.; 5; 1; 92; 0; https://twitter.com/rafinhabastos/status/1194116254505799680; None; None
2019-11-11 19:46:51+00:00; rafinhabastos; @marigraciolli Tivesse feito uma saladinha, nada disso teria acontecido. #GlutemMata; 9; 0; 40; 1; https://twitter.com/rafinhabastos/status/1193978415654821889; None; None
2019-11-11 19:45:28+00:00; rafinhabastos; @dedesecco @YgorFremo Vc pergunta bobagem e a Debora Secco responde. Eu pergunto “alguém conhece um cardiologista legal pra eu levar o meu pai?” e o povo grita “ENFIA TEU PAI NO CU!!!!”. Puta mundo injusto.; 5; 25; 702; 3; https://twitter.com/rafinhabastos/status/1193978064851652608; None; None
2019-11-11 05:50:37+00:00; rafinhabastos; @ZliaXavier1 Calma tia, Zila.; 1; 0; 0; 0; https://twitter.com/rafinhabastos/status/1193767967055601664; None; None
2019-11-10 22:30:54+00:00; rafinhabastos; @alexalvim2010 Já o chamei diversas vezes, cara. Espero que ele aceite logo.; 2; 0; 0; 0; https://twitter.com/rafinhabastos/status/1193657310532554754; None; None
2019-11-10 02:32:08+00:00; rafinhabastos; @naosalvo Hahahhehhshhshs; 4; 0; 212; 0; https://twitter.com/rafinhabastos/status/1193355630058393600; None; None
2019-11-09 00:56:58+00:00; rafinhabastos; @RogerClark41 Just saw your story on TV (about theater in NY). You need better pants. Give me your address. I am at H&amp;M now. I will buy new pants for you.; 0; 0; 1; 0; https://twitter.com/rafinhabastos/status/1192969291693543424; None; None
2019-11-08 23:24:58+00:00; rafinhabastos; @RogerClark41 roger... u need new pants, bro.; 1; 0; 1; 0; https://twitter.com/rafinhabastos/status/1192946139802284037; None; None
2019-11-08 18:05:28+00:00; rafinhabastos; @Meteorovemlogo E esse ta bacana? https://t.co/77CuuYO1et; 6; 0; 1; 0; https://twitter.com/rafinhabastos/status/1192865737850982400; None; None
2019-11-08 18:01:45+00:00; rafinhabastos; Há 15 anos... quando comecei a ser pago pra ser ridículo. 🙌 Ps: Eu que canto. https://t.co/mOkW0RtAlK; 433; 173; 6301; 35; https://twitter.com/rafinhabastos/status/1192864798716903424; None; None
2019-11-07 18:49:20+00:00; rafinhabastos; É muita canalhice falar da criação dos filhos de alguém da forma leviana que esse idiota fez. Conheci o Glenn e a família há 2 anos. O cara é um pai exemplar, super envolvido e cuidadoso. Esse Augusto Nunes é um imbecil.; 3637; 5641; 68706; 537; https://twitter.com/rafinhabastos/status/1192514386096795648; None; None
2019-11-07 18:16:12+00:00; rafinhabastos; @victorcamejo Puta canalha.; 6; 0; 39; 0; https://twitter.com/rafinhabastos/status/1192506049468751876; None; None
2019-11-07 17:59:21+00:00; rafinhabastos; Fez jus ao nome INTERCEPT! 👏👏👏; 112; 132; 3964; 18; https://twitter.com/rafinhabastos/status/1192501808079495170; None; None
2019-11-07 17:55:02+00:00; rafinhabastos; Todos indignados com a briga do Glenn x Augusto Nunes e eu apenas impressionado com a defesa do Glenn. Guarda exemplar. 👏👏👏 https://t.co/njXSC5gvmv; 449; 714; 9753; 130; https://twitter.com/rafinhabastos/status/1192500722107072513; None; None
2019-11-06 21:29:19+00:00; rafinhabastos; @RitaLisauskas HahahhehHh!!! Bem isso; 2; 1; 31; 0; https://twitter.com/rafinhabastos/status/1192192260768698372; None; None
2019-11-06 04:28:40+00:00; rafinhabastos; @ih_Anna 🙌🙌🙌; 1; 0; 7; 1; https://twitter.com/rafinhabastos/status/1191935405379268609; None; None
2019-11-06 04:28:27+00:00; rafinhabastos; @Pegeo_ Obrigado cara! Valeuzaço pela torcida; 0; 0; 7; 0; https://twitter.com/rafinhabastos/status/1191935353168510978; None; None
2019-11-06 04:27:38+00:00; rafinhabastos; @HavocMiranda Obrigado meu velho! Tô muito feliz.; 0; 0; 27; 0; https://twitter.com/rafinhabastos/status/1191935146074787842; None; None
2019-11-06 04:27:11+00:00; rafinhabastos; @caiosenra VLeu mano!!!!; 0; 0; 0; 0; https://twitter.com/rafinhabastos/status/1191935032111325184; None; None
2019-11-06 04:26:43+00:00; rafinhabastos; @ArthunesDiego Hhahhwhe! Valeu!!!; 3; 0; 9; 0; https://twitter.com/rafinhabastos/status/1191934913353781248; None; None
2019-11-06 04:23:00+00:00; rafinhabastos; @duda_ray123 Quem é o Aldo????; 1; 0; 1; 0; https://twitter.com/rafinhabastos/status/1191933977898168321; None; None
2019-11-03 21:34:06+00:00; rafinhabastos; Melhor fantasia de Halloween da história. #ilhadebarbados #ElaEoBebe https://t.co/z77OJ1mYWT; 57; 135; 2792; 30; https://twitter.com/rafinhabastos/status/1191106300555472897; None; None
2019-11-03 19:51:33+00:00; rafinhabastos; Difícil dizer se isso é coisa de coach ou se é entrevista de emprego com um surdo. https://t.co/CTDV6gj13T; 182; 172; 2007; 67; https://twitter.com/rafinhabastos/status/1191080495293054985; None; None
2019-11-03 18:17:28+00:00; rafinhabastos; @RicardoPipo Coisa linda; 0; 0; 5; 0; https://twitter.com/rafinhabastos/status/1191056816735707137; None; None
2019-11-03 09:00:49+00:00; rafinhabastos; @Kidids Cara, faz todo sentido. Também nunca entendi esse conceito. O super-homem respira e já mata o homem morcego.; 3; 0; 41; 0; https://twitter.com/rafinhabastos/status/1190916729733386242; None; None
2019-11-02 21:40:12+00:00; rafinhabastos; Somente o vídeo mais triste da internet. https://t.co/IF0Bkl64vh; 955; 842; 9178; 1173; https://twitter.com/rafinhabastos/status/1190745449717813248; None; None
2019-11-02 21:34:17+00:00; rafinhabastos; @bicmuller Meu... Deus... do... céu; 7; 2; 248; 0; https://twitter.com/rafinhabastos/status/1190743957258604544; None; None
2019-11-01 17:36:01+00:00; rafinhabastos; Pessoalzinho chocado que o filho do presida citou a volta do regime militar. Felizmente o pai não é louco e nunca celebraria tamanha atrocidade. 🙏🙏🙏 https://t.co/X4nxLAnAuM; 212; 563; 5603; 35; https://twitter.com/rafinhabastos/status/1190321609476730881; None; None
2019-10-31 15:18:36+00:00; rafinhabastos; @isaf3rrari Quer cagar regra com esse português limitado? Está errado isso aí.; 5; 2; 81; 0; https://twitter.com/rafinhabastos/status/1189924638060662787; None; None
2019-10-31 15:14:52+00:00; rafinhabastos; Não é uma má idéia, hein?! https://t.co/5XCcHlIHd6; 38; 17; 666; 4; https://twitter.com/rafinhabastos/status/1189923699748737025; None; https://twitter.com/cunhathaliaa/status/1189728449335906304
2019-10-31 02:34:58+00:00; rafinhabastos; @vitordomilgrau Em 1995 isso fazia sentido.; 0; 0; 2; 0; https://twitter.com/rafinhabastos/status/1189732464379469825; None; None
2019-10-27 14:15:18+00:00; rafinhabastos; @UFCBrasil @Benaskren @demianmaia Monstro muito!; 1; 0; 23; 0; https://twitter.com/rafinhabastos/status/1188459158082904069; None; None
2019-10-22 14:55:25+00:00; rafinhabastos; Mano... não zoa. Não estraga. Pelamordedeus. Diz que vcs estão zoando. Diz que vcs ñ são tão ARROMBADOS!!! https://t.co/NLeZ8PzcgQ; 274; 104; 2139; 81; https://twitter.com/rafinhabastos/status/1186657316055244800; None; None
2019-10-20 01:07:56+00:00; rafinhabastos; @gustastockler Eu tenho vergonha é do novo Fiat e do programa Se Joga, da Globo.; 11; 2; 221; 1; https://twitter.com/rafinhabastos/status/1185724296137715712; None; None
2019-10-17 18:16:12+00:00; rafinhabastos; Estreou um programa na Globo chamado SE JOGA. As gírias levam de 12 a 14 anos para chegarem na emissora. Breve os programas Daora, Vacilo, Balada na Night, Rolê da Paquera, Mó Comédia e Queimando a Rosca.; 118; 161; 3491; 15; https://twitter.com/rafinhabastos/status/1184895903162867712; None; None
2019-10-17 10:50:43+00:00; rafinhabastos; @Kidids Hehahehahr; 1; 0; 2; 0; https://twitter.com/rafinhabastos/status/1184783793347010561; None; None
2019-10-15 01:14:17+00:00; rafinhabastos; Esses espaços coletivos de trabalho tipo WeWork são tão bacanas e descolados... mas eu sei que os jovens que habitam o lugar, estão ali trabalhando na 17ª versão de uma apresentação de merda para um chefe insuportável que ñ faz a menor idéia do que quer.; 47; 93; 2038; 14; https://twitter.com/rafinhabastos/status/1183913952952176645; None; None
2019-10-14 19:42:42+00:00; rafinhabastos; Coringa é um filme incrível, mas ainda acho o Ronald McDonald o mais macabro dos palhaços... destruindo gerações glúten a glúten. https://t.co/yC2VqDspJI; 40; 246; 2650; 16; https://twitter.com/rafinhabastos/status/1183830507186020355; None; None
2019-10-14 19:32:11+00:00; rafinhabastos; @raffaellsan @moura_101 Ja expliquei pro anão 3 vezes. É um dinheiro do canal. Não saiu de cofre público nenhum, mas ele insiste. 🤷🏻‍♂️; 3; 0; 1; 0; https://twitter.com/rafinhabastos/status/1183827860903084033; None; None
2019-10-14 19:18:59+00:00; rafinhabastos; @moura_101 Calma... moça. Vai perder todo implante. Vai acabar careca 2 vezes. 🙏; 14; 1; 43; 1; https://twitter.com/rafinhabastos/status/1183824541677690886; None; None
2019-10-14 11:39:15+00:00; rafinhabastos; Que surtinho psicótico mais fofo, geeentchi! ❤️ https://t.co/dGSLm02Jko; 621; 507; 9479; 172; https://twitter.com/rafinhabastos/status/1183708843198615552; None; None
2019-10-11 23:40:35+00:00; rafinhabastos; @LeoSanes “Haver” não. A ver. Obrigado.; 2; 0; 1; 0; https://twitter.com/rafinhabastos/status/1182803209137643522; None; None
2019-10-11 01:52:35+00:00; rafinhabastos; Mano... ó as coisa que os cara compartilha! Hehhshehahe!!! Uma mulher massageando a virilha do presida que atira com duas metrancas enquanto um jacaré sorri vendo o PT pegar fogo. Coisa mais linda. https://t.co/3bdWWtl6Xr; 303; 225; 3660; 63; https://twitter.com/rafinhabastos/status/1182474040629452800; None; None
2019-10-10 19:49:46+00:00; rafinhabastos; Mestre do Capitalismo de cu é rola! Isso sim é COACHING FINANCEIRO, carai! https://t.co/P7ngMkREeQ; 20; 58; 714; 11; https://twitter.com/rafinhabastos/status/1182382736704786432; None; None
2019-10-05 20:56:28+00:00; rafinhabastos; Tenho nada a ver com isso, Vivo. Inclusive meu celular é Claro. https://t.co/8US8HlfA3w; 39; 22; 1223; 2; https://twitter.com/rafinhabastos/status/1180587580313653251; None; None
2019-10-04 22:45:31+00:00; rafinhabastos; Meu papo com o @Haddad_Fernando tá no ar. Assiste ae! https://t.co/MVLRLGtAJ7 https://t.co/1PvGe9fa7x; 161; 99; 2197; 30; https://twitter.com/rafinhabastos/status/1180252638430011392; None; None
2019-10-02 08:08:29+00:00; rafinhabastos; @Tonkiel A Globo é aquele tiozão que se esforça pra aprender as gírias dos jovens, mas larga uns “e aí, galera!” no meio do papo e bota tudo a perder.; 6; 5; 166; 0; https://twitter.com/rafinhabastos/status/1179307148771233792; None; None
2019-09-26 18:36:21+00:00; rafinhabastos; @JlioCsa40437174 @quadrelii @LineroGomes HahhsshHahahhs! Encerro aqui o meu caso, vsa senhoria.; 2; 0; 12; 0; https://twitter.com/rafinhabastos/status/1177290830803013632; None; None
2019-09-26 05:57:37+00:00; rafinhabastos; @Robertaurca 🙌; 0; 0; 11; 1; https://twitter.com/rafinhabastos/status/1177099888397623296; None; None
2019-09-25 06:36:33+00:00; rafinhabastos; @colorina Hahehaheh! Menina Greta é só irá.; 5; 0; 113; 0; https://twitter.com/rafinhabastos/status/1176747299852181504; None; None
2019-09-24 13:11:29+00:00; rafinhabastos; @UFCBrasil Aqui no BR o Wallid ja fechou com o Batoré da Praça é Nossa e vcs não falam nada? #PrayForWallid; 0; 0; 12; 0; https://twitter.com/rafinhabastos/status/1176484297596952576; None; None
2019-09-24 13:00:13+00:00; rafinhabastos; @jbanguela Jajá @WelderMM; 0; 0; 20; 0; https://twitter.com/rafinhabastos/status/1176481464474624001; None; None
2019-09-24 12:57:40+00:00; rafinhabastos; @romulomendonca Tb renovei. Sigo morando em Perdizes. #Aluguel2029; 8; 6; 688; 1; https://twitter.com/rafinhabastos/status/1176480821445836802; None; None
2019-09-24 12:08:39+00:00; rafinhabastos; @EllenPfefferOf @EduPrimitivo Moça.... seu desejo será dificilmente atendido. Não tem Leão na favela. No Google achei apenas a música FAVELA, DE NARA LEÃO: https://t.co/RY58jMnsBn; 2; 0; 5; 0; https://twitter.com/rafinhabastos/status/1176468486509477889; None; None
2019-09-24 06:46:58+00:00; rafinhabastos; @EduPrimitivo Edu... triste é saber que teu bairro é ultra perigoso e tu vai morrer de diabetes. Gordo safado.; 20; 4; 523; 0; https://twitter.com/rafinhabastos/status/1176387530100330497; None; None
2019-09-21 17:25:14+00:00; rafinhabastos; @bicmuller E ainda saiu como unha de fome que corta cabelo na permuta. Foda.; 1; 0; 13; 0; https://twitter.com/rafinhabastos/status/1175460994866270208; None; None
2019-09-21 17:22:18+00:00; rafinhabastos; Falasse isso pra mim há 2 anos eu riria e procuraria a câmera do Topa Tudo por Dinheiro. Hoje eu apenas apago o cigarro na minha coxa e sigo a vida. https://t.co/Kwm3OMHLLC; 140; 193; 3317; 13; https://twitter.com/rafinhabastos/status/1175460256471629824; None; None
2019-09-21 16:33:24+00:00; rafinhabastos; @pegoncalves @YgorFremo Hahhhahahahgagagga; 1; 0; 10; 0; https://twitter.com/rafinhabastos/status/1175447948852809735; None; None
2019-09-21 00:23:18+00:00; rafinhabastos; Parabens aos bródis do Porta pela conquista!!! Muito foda!!! @gduvivier @antoniotabet @FabioPorchat @joaovicente27 https://t.co/35P5UyRrgh; 23; 58; 2906; 2; https://twitter.com/rafinhabastos/status/1175203815043108864; None; https://twitter.com/FabioPorchat/status/1174684370415882240
2019-09-20 23:48:52+00:00; rafinhabastos; @AroucheYeda @acarol_luz @Beastmaster @broome88 @netflix @NetflixBrasil Gente chata tb assiste o programa. Infelizmente, @netflixbrasil.; 1; 0; 2; 0; https://twitter.com/rafinhabastos/status/1175195151666315264; None; None
2019-09-20 10:58:15+00:00; rafinhabastos; @afrancyellee Prazer!!! Obg pela visita. Vou voltar em português. Prometo!!!!!! 🙌; 0; 1; 9; 1; https://twitter.com/rafinhabastos/status/1175001216884994049; None; None
2019-09-18 01:09:37+00:00; rafinhabastos; @MarcelMelfi Que massa!!!!!!!!!!; 0; 0; 12; 0; https://twitter.com/rafinhabastos/status/1174128306062446593; None; None
